RegionName,County_State,CountyName,StateFullName,Lat,Long,2010,2011,2012,2013,2014,2015,2016,2017
Denver,"Denver, CO",Denver,Colorado,39.726303,-104.856808,5278,4344.75,2455.583333,2016.916667,1630.25,1367.666667,1491.5,1499.666667
Ocean,"Ocean, NJ",Ocean,New Jersey,39.753858,-74.293989,9038.583333,8910.25,7777.75,5900.416667,6446.416667,6744.75,6594.083333,5767.416667
Arapahoe,"Arapahoe, CO",Arapahoe,Colorado,39.715287,-104.84748,4183.916667,3714.5,1912.833333,1627.5,1359.25,1126.916667,1207.666667,1019.25
Delaware,"Delaware, PA",Delaware,Pennsylvania,39.998811,-75.30793,3296.416667,4039.833333,3408.666667,3036.416667,2944.666667,2795.416667,2529.333333,2106
Bristol,"Bristol, MA",Bristol,Massachusetts,41.998799,-71.200894,2915.5,3099.083333,2633.166667,1973.75,2005.833333,1902,1552.833333,1290.416667
Brevard,"Brevard, FL",Brevard,Florida,28.699314,-80.895344,7719.583333,8140.583333,5696.416667,3905.5,3991.083333,3001.583333,2847.333333,2810.583333
Summit,"Summit, OH",Summit,Ohio,41.311288,-81.492511,3754.083333,4080.75,3151.5,2852.833333,2835.5,2772.083333,2435.416667,2301.583333
Anne Arundel,"Anne Arundel, MD",Anne Arundel,Maryland,38.802263,-76.645735,3455.833333,3701,2782.25,2253.583333,2753.5,2923.333333,2544.916667,2260.083333
Montgomery,"Montgomery, OH",Montgomery,Ohio,39.836157,-84.330392,3079.916667,3622.166667,3010.083333,2924.166667,2728.916667,2731.333333,2407,1731
Jefferson,"Jefferson, CO",Jefferson,Colorado,39.522014,-105.223945,3947.583333,3726.916667,2262.583333,1805,1368.5,1259.666667,1157.333333,1006.5
Washington,"Washington, OR",Washington,Oregon,45.496289,-122.800146,3195,3058.083333,1812.75,1328.083333,1480.333333,1205.166667,974.6666667,1050.833333
Lancaster,"Lancaster, PA",Lancaster,Pennsylvania,40.150963,-76.61028,2812.833333,2998.083333,2516.166667,2397.75,2183.583333,1854.583333,1510.166667,1228
Douglas,"Douglas, NE",Douglas,Nebraska,41.357015,-96.203393,3739.75,3496.666667,2727.916667,2437.166667,2172.166667,1820.833333,1549.333333,1340.416667
Utah,"Utah, UT",Utah,Utah,40.395796,-111.803101,2553.333333,2766.333333,1822.083333,1564.25,1994.666667,1355.333333,1232.25,1174.25
Kane,"Kane, IL",Kane,Illinois,42.045792,-88.539027,4436.5,4618.083333,3458.333333,2371.333333,2560.75,2718.75,2424.666667,2015.75
Ramsey,"Ramsey, MN",Ramsey,Minnesota,44.967965,-93.092168,2223.916667,2359.75,1497.416667,1127.083333,1391.083333,1362.583333,1281.583333,871.75
Passaic,"Passaic, NJ",Passaic,New Jersey,40.877949,-74.141237,2559.833333,2724,2279.333333,1958.833333,2002.416667,2149.75,2119.166667,1714.416667
Chester,"Chester, PA",Chester,Pennsylvania,40.040057,-75.488793,3521.166667,3889,3244.333333,2758.916667,2656.25,2529.333333,2323.25,2073.083333
Sedgwick,"Sedgwick, KS",Sedgwick,Kansas,37.779733,-97.636619,3301.5,3183,2658.166667,2408.166667,2183.5,1929,1776.25,1687.083333
Plymouth,"Plymouth, MA",Plymouth,Massachusetts,41.970474,-70.701357,3548.5,4008.583333,3509.583333,2687.75,2550.833333,2244.583333,1922,1661.916667
Volusia,"Volusia, FL",Volusia,Florida,29.200508,-81.406458,6373.75,7290.166667,5711.583333,4555.666667,4724.75,4217.916667,3650.583333,3221.416667
Morris,"Morris, NJ",Morris,New Jersey,40.918648,-74.430696,3815.75,3761.5,3290.916667,2702,2745.083333,2937.833333,2813.833333,2294.916667
Dane,"Dane, WI",Dane,Wisconsin,42.903829,-89.586339,3954.333333,4491.333333,3828.416667,3078.833333,2872.583333,2533.916667,2190.083333,1799.333333
Spokane,"Spokane, WA",Spokane,Washington,47.643803,-117.59205,3659.5,4123.166667,3492.416667,3206.083333,3005.333333,2830.5,2444.333333,1978.666667
Richmond,"Richmond, NY",Richmond,New York,40.623632,-74.093323,2807.75,3268,2424.666667,1694.25,1544.5,1203.333333,907.4166667,911.75
Pasco,"Pasco, FL",Pasco,Florida,28.36886,-82.322756,5922.583333,6365.083333,4464.416667,3839.333333,4469.833333,4159.75,3384.5,2785.333333
Hampden,"Hampden, MA",Hampden,Massachusetts,42.140549,-72.788661,2146.75,2374.833333,2151.166667,1864.75,1946.333333,1774.083333,1439.25,1184.166667
Montgomery,"Montgomery, TX",Montgomery,Texas,30.310041,-95.51232,5045.5,5553.666667,4432.25,3762.75,3265.416667,3747.083333,3804.333333,3892
Greenville,"Greenville, SC",Greenville,South Carolina,34.848567,-82.402871,5273.583333,4659.083333,3623.333333,3102.666667,2964.083333,2562.75,2074.916667,1937.833333
Burlington,"Burlington, NJ",Burlington,New Jersey,40.049948,-74.917061,3804.833333,4161.5,3482.25,2999,3166,3063.333333,2818.75,2641
Lucas,"Lucas, OH",Lucas,Ohio,41.645699,-83.620233,2482.833333,2524.5,2108.5,1868.75,1894,1855.416667,1840.75,1546.916667
Adams,"Adams, CO",Adams,Colorado,39.788286,-104.822765,2657.083333,2421.083333,1410.75,1153.25,786.5,740.9166667,786.6666667,685.5833333
Virginia Beach City,"Virginia Beach City, VA",Virginia Beach City,Virginia,36.844004,-76.12036,4131.166667,3736.666667,2620.083333,2413.25,2637,2661.166667,2610.333333,2480.75
Jefferson,"Jefferson, LA",Jefferson,Louisiana,29.984643,-90.161821,1717.5,1670.25,1515.333333,1417.333333,1331,1257.666667,1068,1114.75
Polk,"Polk, IA",Polk,Iowa,41.813089,-93.609929,3525.083333,3768.75,3281.833333,3045.166667,2800.416667,2422,2130.833333,1918.5
Clark,"Clark, WA",Clark,Washington,45.923556,-122.450194,3108.416667,3186.5,2142.583333,1847.083333,2088.333333,1654.666667,1282.833333,1271.916667
Seminole,"Seminole, FL",Seminole,Florida,28.666625,-81.365039,3464.5,3177,1985.583333,1522.916667,2001.166667,2120,1731,1382.083333
Williamson,"Williamson, TX",Williamson,Texas,30.807586,-97.78119,3684.25,3647.916667,2277.75,1564.75,1469.833333,1719.583333,1537.083333,1844.083333
Prince William,"Prince William, VA",Prince William,Virginia,38.734255,-77.547383,1738.5,1941.5,1362.666667,951.25,1465.666667,1697.666667,1408.5,1164.25
Dakota,"Dakota, MN",Dakota,Minnesota,44.547215,-93.153115,2274.833333,2153.083333,1184.333333,980.1666667,1218.583333,1312.666667,1215.666667,910.25
Ada,"Ada, ID",Ada,Idaho,43.735179,-116.41033,4172.666667,3247.916667,2317.416667,2249.166667,2647.583333,2512.416667,2190.333333,1784.166667
Waukesha,"Waukesha, WI",Waukesha,Wisconsin,43.062707,-88.105906,2642.166667,2816.666667,2041.833333,1757.083333,1879.833333,1565.416667,1524.833333,1306.083333
Pulaski,"Pulaski, AR",Pulaski,Arkansas,34.694468,-92.425087,2402.333333,2864.416667,2710.75,2766.75,2406.416667,2418.75,2573.666667,2348.083333
Sarasota,"Sarasota, FL",Sarasota,Florida,27.143931,-82.404959,6698.166667,6775.416667,4956.166667,4309.833333,4426.25,3855.416667,4493.666667,4543.333333
Clackamas,"Clackamas, OR",Clackamas,Oregon,45.247636,-122.468991,2738.916667,2809.25,2057.166667,1619.083333,1525.833333,1369.25,1169.666667,1121.833333
Pinal,"Pinal, AZ",Pinal,Arizona,33.393398,-111.478975,4108.416667,4049.333333,2445.333333,2514.333333,2693.833333,2437.416667,2372.25,2022.5
Orange,"Orange, NY",Orange,New York,41.386195,-74.125718,3479.416667,3353.25,3076.416667,2911.75,2970.666667,2996.333333,2534.25,2050.416667
Butler,"Butler, OH",Butler,Ohio,39.547254,-84.599698,1881.666667,1929.166667,1631.416667,1531.416667,1449.833333,1322.583333,1052.5,829.5833333
